Wavelength (nm),Power (W)
350.005,1.1793544938499998e-07
360.018,1.3714724659099995e-07
370.028,1.5758026222900003e-07
380.034,1.905333353369999e-07
390.036,2.555628067500001e-07
400.035,3.3094662571999994e-07
410.031,4.0807263846999975e-07
420.022,4.919761883999999e-07
430.009,5.229256909000004e-07
439.993,6.107676577599997e-07
449.972,7.193390700499996e-07
460.026,8.094869033999996e-07
469.997,8.992311520199999e-07
479.963,9.856074522500004e-07
490.005,1.0732176457400005e-06
499.962,1.1539530826200014e-06
509.993,1.2246603910400002e-06
520.02,1.2840085940100004e-06
529.963,1.3443552751600006e-06
539.98,1.3853630048e-06
549.992,1.4147507130600002e-06
559.998,1.4284100427199996e-06
570.0,1.484820544409999e-06
579.995,1.4937854644500002e-06
589.986,1.50196934155e-06
599.97,1.5084891663400004e-06
610.028,1.47800841094e-06
620.001,1.4207161700500004e-06
629.968,1.38295744476e-06
640.008,1.36789662521e-06
649.963,1.3581122305900007e-06
659.991,1.3074362675299999e-06
670.012,1.2359444729999995e-06
680.026,1.1727261824099994e-06
690.032,1.2623727292100003e-06
700.032,1.3099897188599999e-06
710.026,1.3395844877300003e-06
720.012,1.3361157357699987e-06
729.991,1.3213015500599999e-06
739.964,1.2933790457500003e-06
750.007,1.2590151221100003e-06
