Wavelength (nm),Power (W)
349.973,9.230473680799996e-08
359.99,1.1151286958100002e-07
370.003,1.3398606352999996e-07
380.013,1.6893782258900007e-07
390.019,2.3170868109999984e-07
400.022,3.103933045099999e-07
410.021,3.952766258599999e-07
420.016,4.8552257791e-07
430.007,5.344929873800002e-07
439.994,6.1478882577e-07
449.977,7.2231340963e-07
460.035,8.186110946799995e-07
470.01,9.071407364800002e-07
479.98,1.0020724993999999e-06
490.025,1.0952687068199996e-06
499.985,1.1769838053399998e-06
510.021,1.2530156908999997e-06
519.972,1.31899874879e-06
529.998,1.3836570758199995e-06
540.019,1.4260316601000001e-06
550.034,1.43926724892e-06
559.965,1.4843876226499997e-06
569.97,1.5376375659400002e-06
579.97,1.5538091309800003e-06
589.964,1.5720769488900001e-06
600.032,1.5921267907200002e-06
610.014,1.5707167875800004e-06
619.991,1.5124270617999997e-06
629.962,1.4608760761599993e-06
640.006,1.4373552681699997e-06
649.964,1.4163985122099996e-06
659.996,1.3496265045900001e-06
670.021,1.2661927189600006e-06
680.039,1.1898065392199994e-06
690.015,1.24443517509e-06
700.014,1.2961373505299992e-06
710.006,1.3319745602200005e-06
719.99,1.3493434397300008e-06
729.968,1.3311661967599993e-06
740.018,1.3018718453600007e-06
749.981,1.2718488642900013e-06
