Wavelength (nm),Power (W)
349.973,1.2010578974499995e-07
359.99,1.4530296119999997e-07
370.003,1.8093530779300008e-07
380.013,2.4577949596999994e-07
390.019,3.2974261797999987e-07
400.022,4.1604630594000017e-07
410.021,5.097757061500002e-07
420.016,6.069559140099999e-07
430.007,6.450387201900001e-07
439.994,7.4700834293e-07
449.977,8.472020866499998e-07
460.035,9.470134122799994e-07
470.01,1.03106645495e-06
479.98,1.1320865238599998e-06
490.025,1.2134703303400004e-06
499.985,1.2985629632300005e-06
510.021,1.357436202609999e-06
519.972,1.4185539696900007e-06
529.998,1.4658371839399994e-06
540.019,1.485157834470001e-06
550.034,1.4984890186099991e-06
559.965,1.5607662852099997e-06
569.97,1.5874287897199994e-06
579.97,1.5918445365800004e-06
589.964,1.6151016284800002e-06
600.032,1.6065529883299995e-06
610.014,1.5540578943000002e-06
619.991,1.4962582344500005e-06
629.962,1.46142771311e-06
640.006,1.4325313349200004e-06
649.964,1.38650401369e-06
659.996,1.3061753617600003e-06
670.021,1.2224211041900001e-06
680.039,1.1504145914099996e-06
690.015,1.235484091270001e-06
700.014,1.2747935920499998e-06
710.006,1.2906274867300003e-06
719.99,1.2828051848600002e-06
729.968,1.26682850526e-06
740.018,1.236779564289999e-06
749.981,1.2087289456599994e-06
