Wavelength (nm),Power (W)
349.989,1.1710735727200007e-07
359.994,1.4720772852600007e-07
369.997,1.83215183116e-07
379.995,2.4504205307500007e-07
389.991,3.449367354899999e-07
399.982,4.497747061200003e-07
409.97,5.6129009206e-07
420.034,6.727963881299996e-07
430.014,7.280307824e-07
439.989,8.364195884000004e-07
449.961,9.638196723899992e-07
460.008,1.0882489454000005e-06
469.972,1.1917675166499988e-06
480.01,1.3061091374599993e-06
489.964,1.4131998659800007e-06
499.993,1.5101876828500005e-06
510.018,1.5949535145199996e-06
520.037,1.6653483799700005e-06
529.972,1.7437940216400003e-06
539.982,1.7828458667399996e-06
549.986,1.81435294151e-06
559.985,1.8831795122099996e-06
569.979,1.8940482364700009e-06
579.967,1.8992463619800003e-06
590.029,1.90115062224e-06
600.006,1.8954091194200003e-06
609.977,1.8376473540099999e-06
620.021,1.7653824321599989e-06
629.981,1.7136926725e-06
640.013,1.6779995849399995e-06
650.039,1.6345604495700009e-06
659.98,1.56337360231e-06
669.994,1.47103927473e-06
680.001,1.3830834962e-06
689.983,1.646580137780001e-06
699.979,1.6804327157499992e-06
709.968,1.6931830651400004e-06
720.029,1.6718567457700003e-06
730.004,1.6355451685599989e-06
739.972,1.5957107887999995e-06
750.011,1.5498154277800012e-06
