Wavelength (nm),Power (W)
349.973,9.5744786046e-08
359.99,1.1410495226299997e-07
370.003,1.3660972853399998e-07
380.013,1.7182653607099984e-07
390.019,2.3499717936699985e-07
400.022,3.142216335e-07
410.021,4.003429679699999e-07
420.016,4.919818603099999e-07
430.007,5.434893048499999e-07
439.994,6.248861530200006e-07
449.977,7.280751278999998e-07
460.035,8.276840012699999e-07
470.01,9.149300324900001e-07
479.98,1.0087958321400005e-06
490.025,1.09931687084e-06
499.985,1.1833870411300002e-06
510.021,1.2580939437699998e-06
519.972,1.31864469777e-06
529.998,1.3809330471599993e-06
540.019,1.4163395775399994e-06
550.034,1.4281091881899999e-06
559.965,1.4692176291299992e-06
569.97,1.5303991154099998e-06
579.97,1.544811879079999e-06
589.964,1.5593922205699998e-06
600.032,1.5769940767200005e-06
610.014,1.5482734716e-06
619.991,1.4900682418700003e-06
629.962,1.4434692366499998e-06
640.006,1.4152230130799997e-06
649.964,1.390155698580001e-06
659.996,1.3322787407000002e-06
670.021,1.2474533337799993e-06
680.039,1.1721836287800003e-06
690.015,1.26365917874e-06
700.014,1.3133176758500004e-06
710.006,1.3460166843100002e-06
719.99,1.35451265578e-06
729.968,1.3365263452900006e-06
740.018,1.3105352445599993e-06
749.981,1.28140450731e-06
