Wavelength (nm),Power (W)
350.005,1.2000766805099994e-07
360.018,1.3948045249699997e-07
370.028,1.6083032988499998e-07
380.034,1.9604990170799984e-07
390.036,2.6170910926e-07
400.035,3.3960730155999986e-07
410.031,4.2181557829000015e-07
420.022,5.1096374402e-07
430.009,5.594295054899999e-07
439.993,6.427167232599999e-07
449.972,7.476152199999997e-07
460.026,8.497821562200001e-07
469.997,9.353823864899997e-07
479.963,1.0298894738999993e-06
490.005,1.1164534498200001e-06
499.962,1.1990063103800005e-06
509.993,1.2690154187100005e-06
520.02,1.32215631878e-06
529.963,1.3838250424299999e-06
539.98,1.42243199261e-06
549.992,1.4497227391700002e-06
559.998,1.4689177470199996e-06
570.0,1.51926740556e-06
579.995,1.5338407917500003e-06
589.986,1.550916584359999e-06
599.97,1.5599809694199994e-06
610.028,1.5284520810500005e-06
620.001,1.4721867228599993e-06
629.968,1.4344872392100002e-06
640.008,1.4144129557299995e-06
649.963,1.394552075440001e-06
659.991,1.34308057624e-06
670.012,1.2733987972299999e-06
680.026,1.2017909671299997e-06
690.032,1.2910753918399998e-06
700.032,1.3389660597499994e-06
710.026,1.3655328302599995e-06
720.012,1.3644394232699998e-06
729.991,1.3478760979599997e-06
739.964,1.3198835251099994e-06
750.007,1.2851977845899995e-06
