Wavelength (nm),Current (A)
349.973,4.988648823666667e-09
359.99,9.337235584222221e-09
370.003,1.4775088922222222e-08
380.013,2.4053918862222235e-08
390.019,4.145195373444444e-08
400.022,6.462894195333332e-08
410.021,9.227814542444441e-08
420.016,1.244356548888889e-07
430.007,1.468900627777777e-07
439.994,1.7919585194444444e-07
449.977,2.2274252567777787e-07
460.035,2.656853728333333e-07
470.01,3.0399672614444464e-07
479.98,3.486235470222222e-07
490.025,3.917201373333334e-07
499.985,4.2987353743333347e-07
510.021,4.672352949444444e-07
519.972,4.967959493555554e-07
529.998,5.272016440555557e-07
540.019,5.487880192666669e-07
550.034,5.606209378666668e-07
559.965,5.794720061888889e-07
569.97,6.052536069111111e-07
579.97,6.165190479222223e-07
589.964,6.280876069222222e-07
600.032,6.432524209333333e-07
610.014,6.391763061555557e-07
619.991,6.194376420333335e-07
629.962,6.056108352777777e-07
640.006,5.996057022888887e-07
649.964,5.982355144555554e-07
659.996,5.792599894666667e-07
670.021,5.481940258222223e-07
680.039,5.152530240666666e-07
690.015,5.385858731111112e-07
700.014,5.463226864111108e-07
710.006,5.344393221111111e-07
719.99,4.969430605444445e-07
729.968,4.3715009737777786e-07
740.018,3.6168853836666653e-07
749.981,2.7730308498888894e-07
