Wavelength (nm),Power (W)
349.989,1.2759132225299995e-07
359.994,1.5291881680300006e-07
369.997,1.8221230368799997e-07
379.995,2.3688299626899996e-07
389.991,3.1882630880999993e-07
399.982,4.1455310068000005e-07
409.97,5.157880554899999e-07
420.034,6.227625059100001e-07
430.014,6.774554132200004e-07
439.989,7.829303192099997e-07
449.961,9.108249255600001e-07
460.008,1.0315707874299999e-06
469.972,1.1322035467999998e-06
480.01,1.2529108909299996e-06
489.964,1.3598325273100007e-06
499.993,1.4649844279999994e-06
510.018,1.5482742236399993e-06
520.037,1.6247454004800003e-06
529.972,1.7015712804900002e-06
539.982,1.7437425480999987e-06
549.986,1.7850775022599995e-06
559.985,1.8563671593699994e-06
569.979,1.8664804939499999e-06
579.967,1.8693318350600004e-06
590.029,1.8901471177499999e-06
600.006,1.87859875324e-06
609.977,1.82571299058e-06
620.021,1.7473179359100015e-06
629.981,1.7056301715299996e-06
640.013,1.6730604033500005e-06
650.039,1.6259899717999994e-06
659.98,1.5512368417200002e-06
669.994,1.4672923527e-06
680.001,1.37736242212e-06
689.983,1.4896808880700012e-06
699.979,1.518165033749999e-06
709.968,1.5241287030300006e-06
720.029,1.499614956030001e-06
730.004,1.4636846754200007e-06
739.972,1.4233529520599998e-06
750.011,1.3832946120600003e-06
