Wavelength (nm),Power (W)
349.989,1.0780279360600001e-07
359.994,1.3601975410800004e-07
369.997,1.7023714242400005e-07
379.995,2.288796367930001e-07
389.991,3.215791872399999e-07
399.982,4.215871443400001e-07
409.97,5.260510274599999e-07
420.034,6.3412499488e-07
430.014,6.908732968399996e-07
439.989,8.050407789600005e-07
449.961,9.350733382100001e-07
460.008,1.0607796838300001e-06
469.972,1.1623091079899998e-06
480.01,1.2834234649800007e-06
489.964,1.3851703955500007e-06
499.993,1.4838138314699989e-06
510.018,1.5678911142599997e-06
520.037,1.6376179943299999e-06
529.972,1.7119350911500006e-06
539.982,1.7445058856800002e-06
549.986,1.7755969404199993e-06
559.985,1.8370775297799986e-06
569.979,1.8426956127600004e-06
579.967,1.84648226949e-06
590.029,1.8602506407999994e-06
600.006,1.8502777872899994e-06
609.977,1.7771419997699998e-06
620.021,1.7052690647299988e-06
629.981,1.6550063642200001e-06
640.013,1.6225452401299996e-06
650.039,1.5760125784699994e-06
659.98,1.4985612887099994e-06
669.994,1.41707788256e-06
680.001,1.3278991701899994e-06
689.983,1.5107117462800001e-06
699.979,1.541019242979999e-06
709.968,1.54571454061e-06
720.029,1.5277957567299991e-06
730.004,1.49221401332e-06
739.972,1.45818725797e-06
750.011,1.4153417015700004e-06
