Wavelength (nm),Power (W)
349.989,1.0720782753399994e-07
359.994,1.3747289187800005e-07
369.997,1.7252008412000008e-07
379.995,2.3346098105400003e-07
389.991,3.3472031656999987e-07
399.982,4.4215227912999974e-07
409.97,5.533361558099997e-07
420.034,6.649887936700003e-07
430.014,7.2008231877e-07
439.989,8.278273765199997e-07
449.961,9.5710677384e-07
460.008,1.08370083673e-06
469.972,1.1915440466800006e-06
480.01,1.31059880637e-06
489.964,1.4182799941800003e-06
499.993,1.5231772386199994e-06
510.018,1.6078711070099999e-06
520.037,1.6871772297500022e-06
529.972,1.76843527846e-06
539.982,1.801558622219999e-06
549.986,1.84368654653e-06
559.985,1.915803940779999e-06
569.979,1.927353382670001e-06
579.967,1.9302467343600005e-06
590.029,1.94280898493e-06
600.006,1.9396747715999995e-06
609.977,1.876890663679999e-06
620.021,1.7910081829500005e-06
629.981,1.7489467699500008e-06
640.013,1.7152019356599988e-06
650.039,1.668429457559999e-06
659.98,1.5971091664900002e-06
669.994,1.50972763379e-06
680.001,1.4193410305300002e-06
689.983,1.6904032178499993e-06
699.979,1.715366832560001e-06
709.968,1.7341499710699998e-06
720.029,1.7082334971500003e-06
730.004,1.6700664417000001e-06
739.972,1.6312259993400002e-06
750.011,1.5809742551899989e-06
