Wavelength (nm),Current (A)
349.973,5.625063228666665e-09
359.99,1.0687330542e-08
370.003,1.7067507284444443e-08
380.013,2.7520194846666665e-08
390.019,4.66133251288889e-08
400.022,7.188268013444447e-08
410.021,1.0282399019666672e-07
420.016,1.4082059875555554e-07
430.007,1.684760546333333e-07
439.994,2.083717292777778e-07
449.977,2.586445974888888e-07
460.035,3.088940678666665e-07
470.01,3.572283874777778e-07
479.98,4.087456904222222e-07
490.025,4.619222963999999e-07
499.985,5.078530751222223e-07
510.021,5.536010291888889e-07
519.972,5.890963972444443e-07
529.998,6.249725971888889e-07
540.019,6.514895047333336e-07
550.034,6.661085409777777e-07
559.965,6.878033955111108e-07
569.97,7.196011808555556e-07
579.97,7.326231982666665e-07
589.964,7.452810430333335e-07
600.032,7.630179982333333e-07
610.014,7.602584986999998e-07
619.991,7.394967671999998e-07
629.962,7.248036384444442e-07
640.006,7.215341557444445e-07
649.964,7.174015039333334e-07
659.996,6.951620398222223e-07
670.021,6.556021049111108e-07
680.039,5.82775259511111e-07
690.015,4.298309852555554e-07
700.014,2.218270269444445e-07
710.006,8.44902656577778e-08
719.99,2.7382157308888875e-08
729.968,8.912505187444443e-09
740.018,3.627880326111112e-09
749.981,2.116678659555555e-09
