Wavelength (nm),Power (W)
349.973,9.315560010399996e-08
359.99,1.1207303000799993e-07
370.003,1.347254186200001e-07
380.013,1.6974115104799993e-07
390.019,2.3369815387499984e-07
400.022,3.1308919376000025e-07
410.021,3.995497908900001e-07
420.016,4.916006217399999e-07
430.007,5.439318223999997e-07
439.994,6.272301084800001e-07
449.977,7.3227231898e-07
460.035,8.3208563465e-07
470.01,9.2124660008e-07
479.98,1.0162540431899996e-06
490.025,1.1107349826399997e-06
499.985,1.1929171597799997e-06
510.021,1.2695778116e-06
519.972,1.33339497322e-06
529.998,1.3943756925700003e-06
540.019,1.4340048676300012e-06
550.034,1.4512219286700008e-06
559.965,1.4869616023999998e-06
569.97,1.5464615131300003e-06
579.97,1.5690676030599998e-06
589.964,1.5855696836099992e-06
600.032,1.6084010616300005e-06
610.014,1.584031342630001e-06
619.991,1.52466640608e-06
629.962,1.4767431208000003e-06
640.006,1.449209004869999e-06
649.964,1.42720811766e-06
659.996,1.3630534937799995e-06
670.021,1.2731286823600004e-06
680.039,1.1990609456800001e-06
690.015,1.2642346751899997e-06
700.014,1.3155549902399993e-06
710.006,1.3477860603000003e-06
719.99,1.3570018205e-06
729.968,1.344648800970001e-06
740.018,1.3228135503599995e-06
749.981,1.2950134169000005e-06
