Wavelength (nm),Power (W)
350.005,9.659956401199998e-08
360.018,1.1519792781099996e-07
370.028,1.3849382344700003e-07
380.034,1.8005796337099994e-07
390.036,2.6260481986e-07
400.035,3.455312917999999e-07
410.031,4.304721534300003e-07
420.022,5.220476234100003e-07
430.009,5.693313636399998e-07
439.993,6.506056885299999e-07
449.972,7.515672873899999e-07
460.026,8.449064378700004e-07
469.997,9.235777013800005e-07
479.963,1.0150422150299997e-06
490.005,1.0937989784699999e-06
499.962,1.1735679538799997e-06
509.993,1.24517430321e-06
520.02,1.302160287659999e-06
529.963,1.3627494718599988e-06
539.98,1.3956988192199997e-06
549.992,1.4288361228100002e-06
559.998,1.4425559248300003e-06
570.0,1.4950730121499996e-06
579.995,1.5094203217900008e-06
589.986,1.5239437061200011e-06
599.97,1.537107241289999e-06
610.028,1.505443387899999e-06
620.001,1.4525771542200003e-06
629.968,1.41744063224e-06
640.008,1.3985515942499992e-06
649.963,1.3767913349399993e-06
659.991,1.3272575904799995e-06
670.012,1.2555655661400003e-06
680.026,1.1868877531099999e-06
690.032,1.27074887478e-06
700.032,1.31742285363e-06
710.026,1.34486658624e-06
720.012,1.3442509442300013e-06
729.991,1.3260734772399995e-06
739.964,1.29991623508e-06
750.007,1.2627206575500006e-06
