Wavelength (nm),Current (A)
349.987,1.8758506946666667e-09
359.993,2.8331419123333343e-09
369.995,4.066807754444444e-09
379.994,6.745079804000001e-09
389.989,1.2171826697777778e-08
399.981,1.9773359442222227e-08
409.968,2.9463941338888885e-08
420.032,4.2533214431111087e-08
430.012,5.083875140444445e-08
439.988,6.477111592666666e-08
450.039,8.206429131444446e-08
460.007,1.0003354007111111e-07
469.97,1.1635210355555558e-07
480.008,1.3530478989999996e-07
489.962,1.524239647666667e-07
499.991,1.690725900111111e-07
510.016,1.8411678055555547e-07
520.035,1.9734559891111107e-07
529.97,2.1022127612222215e-07
539.979,2.1875892292222204e-07
549.984,2.2724213887777785e-07
559.983,2.401037319444444e-07
569.976,2.4525916705555547e-07
579.965,2.4912839674444446e-07
590.026,2.511873248333334e-07
600.003,2.523822760000001e-07
609.975,2.4687288817777764e-07
620.019,2.385681737666666e-07
629.978,2.332832086666668e-07
640.011,2.2932216854444442e-07
650.037,2.2129736464444447e-07
659.978,2.050544523888888e-07
669.991,1.8556681826666668e-07
679.998,1.6831871969999997e-07
689.98,1.99069941e-07
699.976,1.9695249065555557e-07
709.965,1.924830645666666e-07
720.026,1.8277582404444442e-07
730.001,1.6797779941111113e-07
739.969,1.4715519162222217e-07
750.008,1.1867465429999994e-07
