Wavelength (nm),Current (A)
349.973,5.482222266666665e-09
359.99,1.0395074853333327e-08
370.003,1.6621850282222226e-08
380.013,2.6966980125555548e-08
390.019,4.562957059333334e-08
400.022,7.008921107555555e-08
410.021,1.0053735402888894e-07
420.016,1.3945390893333333e-07
430.007,1.6921493950000004e-07
439.994,2.099643663999999e-07
449.977,2.6002736270000004e-07
460.035,3.1048447583333324e-07
470.01,3.5699880726666656e-07
479.98,4.0891848167777764e-07
490.025,4.6113370417777765e-07
499.985,5.084095604999999e-07
510.021,5.543592049888888e-07
519.972,5.907831827555554e-07
529.998,6.267099883888886e-07
540.019,6.511776807000001e-07
550.034,6.63970202788889e-07
559.965,6.860209147000001e-07
569.97,7.173640706666666e-07
579.97,7.309798696222225e-07
589.964,7.443726920777776e-07
600.032,7.632171578111112e-07
610.014,7.593382729777776e-07
619.991,7.360563044000001e-07
629.962,7.200338235888888e-07
640.006,7.180238606666663e-07
649.964,7.130589326333333e-07
659.996,6.89769871477778e-07
670.021,6.444245719777778e-07
680.039,5.42451009222222e-07
690.015,3.4555123724444456e-07
700.014,1.48622148e-07
710.006,4.978216831444441e-08
719.99,1.5469327675555544e-08
729.968,5.475159699777779e-09
740.018,2.6443391523333323e-09
749.981,1.7895203814444448e-09
